Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,DateTime
2004-10-03,18.00.00,,1360.0,150.0,,1046.0,166.0,1056.0,113.0,1692.0,1268.0,,,,2004-10-03 18:00:00
2004-10-03,19.00.00,2.0,1292.0,112.0,,955.0,103.0,1174.0,92.0,1559.0,972.0,,,,2004-10-03 19:00:00
2004-10-03,20.00.00,,1402.0,88.0,,939.0,131.0,1140.0,114.0,1555.0,1074.0,,,,2004-10-03 20:00:00
2004-10-03,21.00.00,,1376.0,80.0,,948.0,172.0,1092.0,122.0,1584.0,1203.0,,,,2004-10-03 21:00:00
2004-10-03,22.00.00,,1272.0,51.0,,836.0,131.0,1205.0,116.0,1490.0,1110.0,,,,2004-10-03 22:00:00
2004-10-03,23.00.00,,1197.0,38.0,,750.0,89.0,1337.0,96.0,1393.0,949.0,,,,2004-10-03 23:00:00
2004-11-03,00.00.00,,1185.0,31.0,,690.0,62.0,1462.0,77.0,1333.0,733.0,,,,2004-11-03 00:00:00
2004-11-03,01.00.00,1.0,1136.0,31.0,,672.0,62.0,1453.0,76.0,1333.0,730.0,,,,2004-11-03 01:00:00
2004-11-03,02.00.00,,1094.0,24.0,,609.0,45.0,1579.0,60.0,1276.0,620.0,,,,2004-11-03 02:00:00
2004-11-03,03.00.00,,1010.0,19.0,,561.0,-200.0,1705.0,-200.0,1235.0,501.0,,,,2004-11-03 03:00:00
2004-11-03,04.00.00,-200.0,1011.0,14.0,,527.0,21.0,1818.0,34.0,1197.0,445.0,,,,2004-11-03 04:00:00
2004-11-03,05.00.00,,1066.0,8.0,,512.0,16.0,1918.0,28.0,1182.0,422.0,,,,2004-11-03 05:00:00
2004-11-03,06.00.00,,1052.0,16.0,,553.0,34.0,1738.0,48.0,1221.0,472.0,,,,2004-11-03 06:00:00
2004-11-03,07.00.00,,1144.0,29.0,,667.0,98.0,1490.0,82.0,1339.0,730.0,,,,2004-11-03 07:00:00
2004-11-03,08.00.00,2.0,1333.0,64.0,,900.0,174.0,1136.0,112.0,1517.0,1102.0,,,,2004-11-03 08:00:00
2004-11-03,09.00.00,,1351.0,87.0,,960.0,129.0,1079.0,101.0,1583.0,1028.0,,,,2004-11-03 09:00:00
2004-11-03,10.00.00,,1233.0,77.0,,827.0,112.0,1218.0,98.0,1446.0,860.0,,,,2004-11-03 10:00:00
2004-11-03,11.00.00,,1179.0,43.0,,762.0,95.0,1328.0,92.0,1362.0,671.0,,,,2004-11-03 11:00:00
2004-11-03,12.00.00,,1236.0,61.0,,774.0,104.0,1301.0,95.0,1401.0,664.0,,,,2004-11-03 12:00:00
